Name,Team,Name,WAR,NameASCII,PlayerId,MLBAMID
"Brett Gardner","NYY","Brett Gardner",37.289294548081834,"Brett Gardner",9927,458731
"J.T. Realmuto","- - -","J.T. Realmuto",36.6618181252307,"J.T. Realmuto",11739,592663
"Elvis Andrus","- - -","Elvis Andrus",36.12652638947981,"Elvis Andrus",8709,462101
"Shohei Ohtani","- - -","Shohei Ohtani",35.98363469150885,"Shohei Ohtani",19755,660271
"Starling Marte","- - -","Starling Marte",35.86494752720519,"Starling Marte",9241,516782
"Anthony Rizzo","- - -","Anthony Rizzo",35.84073628077902,"Anthony Rizzo",3473,519203
"Justin Turner","- - -","Justin Turner",35.83925243622092,"Justin Turner",5235,457759
"Justin Upton","- - -","Justin Upton",35.227788621766194,"Justin Upton",5222,457708
"Jonathan Lucroy","- - -","Jonathan Lucroy",35.19571107887372,"Jonathan Lucroy",7870,518960
"Ryan Zimmerman","WSN","Ryan Zimmerman",34.9628266532444,"Ryan Zimmerman",4220,475582
"Matt Chapman","- - -","Matt Chapman",34.874419943716184,"Matt Chapman",16505,656305
"Jason Heyward","- - -","Jason Heyward",34.849275300910485,"Jason Heyward",4940,518792
"Adrián González","- - -","Adrián González",34.45251759428771,"Adrian Gonzalez",1908,408236
"Kyle Seager","SEA","Kyle Seager",34.10881261474233,"Kyle Seager",9785,572122
"Anthony Rendon","- - -","Anthony Rendon",33.77780304294165,"Anthony Rendon",12861,543685
"José Reyes","- - -","José Reyes",33.69227020667074,"Jose Reyes",1736,408314
"Shin-Soo Choo","- - -","Shin-Soo Choo",33.58581991737437,"Shin-Soo Choo",3174,425783
"Eugenio Suárez","- - -","Eugenio Suárez",33.115565327628424,"Eugenio Suarez",12552,553993
"Ketel Marte","- - -","Ketel Marte",32.58046543790438,"Ketel Marte",13613,606466
"Jayson Werth","- - -","Jayson Werth",32.20033577319023,"Jayson Werth",1327,150029
"J.D. Martinez","- - -","J.D. Martinez",32.046959596401386,"J.D. Martinez",6184,502110
"Alex Rodriguez","NYY","Alex Rodriguez",32.045062632202786,"Alex Rodriguez",1274,121347
"Ronald Acuña Jr.","ATL","Ronald Acuña Jr.",31.93129922463654,"Ronald Acuna Jr.",18401,660670
"Matt Carpenter","- - -","Matt Carpenter",31.513815274700423,"Matt Carpenter",8090,572761
"Alex Gordon","KCR","Alex Gordon",31.4559673553018,"Alex Gordon",5209,460086
"Edwin Encarnación","- - -","Edwin Encarnación",31.30664323154825,"Edwin Encarnacion",2151,429665
"Matt Olson","- - -","Matt Olson",31.187146719029837,"Matt Olson",14344,621566
"Brandon Crawford","- - -","Brandon Crawford",30.906542846555688,"Brandon Crawford",5343,543063
"David Ortiz","BOS","David Ortiz",30.783595126572614,"David Ortiz",745,120074
"Marcell Ozuna","- - -","Marcell Ozuna",30.782252254597015,"Marcell Ozuna",10324,542303
"Jimmy Rollins","- - -","Jimmy Rollins",30.706439011626248,"Jimmy Rollins",971,276519
"Howie Kendrick","- - -","Howie Kendrick",30.683124148449593,"Howie Kendrick",4229,435062
"Lorenzo Cain","- - -","Lorenzo Cain",30.56256018147318,"Lorenzo Cain",9077,456715
"Jacoby Ellsbury","- - -","Jacoby Ellsbury",30.144644922087398,"Jacoby Ellsbury",4727,453056
"Hunter Pence","- - -","Hunter Pence",29.61609475089815,"Hunter Pence",8252,452254
"Mark Teixeira","- - -","Mark Teixeira",29.565263357345316,"Mark Teixeira",1281,407893
"Adam Jones","- - -","Adam Jones",29.400118952867917,"Adam Jones",6368,430945
"Kris Bryant","- - -","Kris Bryant",29.19228451550694,"Kris Bryant",15429,592178
"Brandon Phillips","- - -","Brandon Phillips",29.154931560625386,"Brandon Phillips",791,408252
"Rafael Devers","- - -","Rafael Devers",29.10118690617254,"Rafael Devers",17350,646240
"Carlos Santana","- - -","Carlos Santana",28.776561386055832,"Carlos Santana",2396,467793
"Cody Bellinger","- - -","Cody Bellinger",28.63143413968109,"Cody Bellinger",15998,641355
"Miguel Montero","- - -","Miguel Montero",28.595194262559318,"Miguel Montero",3364,471083
"Michael Brantley","- - -","Michael Brantley",28.48319886470753,"Michael Brantley",4106,488726
"Dansby Swanson","- - -","Dansby Swanson",28.457298186794176,"Dansby Swanson",18314,621020
"Carlos Beltrán","- - -","Carlos Beltrán",28.30066236037874,"Carlos Beltran",589,136860
"Asdrúbal Cabrera","- - -","Asdrúbal Cabrera",28.290344922837356,"Asdrubal Cabrera",4962,452678
"Brandon Nimmo","NYM","Brandon Nimmo",28.002085355591205,"Brandon Nimmo",12927,607043
"Josh Hamilton","- - -","Josh Hamilton",27.869833835517767,"Josh Hamilton",1875,285078
"DJ LeMahieu","- - -","DJ LeMahieu",27.194003236021615,"DJ LeMahieu",9874,518934
"Brandon Belt","- - -","Brandon Belt",27.017973642163398,"Brandon Belt",10264,474832
"Byron Buxton","MIN","Byron Buxton",26.910587333773297,"Byron Buxton",14161,621439
"Trevor Story","- - -","Trevor Story",26.85927262117112,"Trevor Story",12564,596115
"Nick Markakis","- - -","Nick Markakis",26.850060576565987,"Nick Markakis",5930,455976
"Shane Victorino","- - -","Shane Victorino",26.822785085566448,"Shane Victorino",1677,425664
"Denard Span","- - -","Denard Span",26.791003835142977,"Denard Span",8347,452655
"Chase Headley","- - -","Chase Headley",26.761214244050517,"Chase Headley",4720,452104
"Bobby Witt Jr.","KCR","Bobby Witt Jr.",26.74540004202086,"Bobby Witt Jr.",25764,677951
"Prince Fielder","- - -","Prince Fielder",26.626193160409343,"Prince Fielder",4613,425902
"Kevin Kiermaier","- - -","Kevin Kiermaier",26.553752365119866,"Kevin Kiermaier",11038,595281
"Fernando Tatis Jr.","SDP","Fernando Tatis Jr.",26.505476394712215,"Fernando Tatis Jr.",19709,665487
"Carlos Gómez","- - -","Carlos Gómez",26.426444400915166,"Carlos Gomez",4881,460576
"José Abreu","- - -","José Abreu",26.295223434181658,"Jose Abreu",15676,547989
"Matt Kemp","- - -","Matt Kemp",26.177099253766066,"Matt Kemp",5631,461314
"Willy Adames","- - -","Willy Adames",25.500020470324394,"Willy Adames",15986,642715
"Andrelton Simmons","- - -","Andrelton Simmons",25.48034604839282,"Andrelton Simmons",10847,592743
"Kevin Youkilis","- - -","Kevin Youkilis",25.383813520765358,"Kevin Youkilis",1935,425903
"Kyle Tucker","- - -","Kyle Tucker",25.382989498276892,"Kyle Tucker",18345,663656
"J.J. Hardy","- - -","J.J. Hardy",25.360530582765758,"J.J. Hardy",3797,429666
"Brian Dozier","- - -","Brian Dozier",25.16790855057756,"Brian Dozier",9810,572821
"Carlos González","- - -","Carlos González",25.033022689235466,"Carlos Gonzalez",7287,471865
"Javier Báez","- - -","Javier Báez",24.98127552132101,"Javier Baez",12979,595879
"Ichiro Suzuki","- - -","Ichiro Suzuki",24.924883589808257,"Ichiro Suzuki",1101,400085
"Jean Segura","- - -","Jean Segura",24.589063112071038,"Jean Segura",5933,516416
"Jhonny Peralta","- - -","Jhonny Peralta",24.317290446011324,"Jhonny Peralta",1738,425509
"Willson Contreras","- - -","Willson Contreras",24.26666790171356,"Willson Contreras",11609,575929
"B.J. Upton","- - -","B.J. Upton",24.204296615375657,"B.J. Upton",5015,425834
"Aramis Ramirez","- - -","Aramis Ramirez",24.124090175391444,"Aramis Ramirez",1002,133380
"Torii Hunter","- - -","Torii Hunter",24.120468388122617,"Torii Hunter",731,116338
"Carl Crawford","- - -","Carl Crawford",24.086730760346676,"Carl Crawford",1201,408307
"Todd Frazier","- - -","Todd Frazier",24.02268761214327,"Todd Frazier",785,453943
"Yordan Alvarez","HOU","Yordan Alvarez",23.732371587010952,"Yordan Alvarez",19556,670541
"Yunel Escobar","- - -","Yunel Escobar",23.687636173810347,"Yunel Escobar",4191,488862
"Chipper Jones Jr.","ATL","Chipper Jones Jr.",23.209617712063547,"Chipper Jones Jr.",97,116706
"Starlin Castro","- - -","Starlin Castro",22.945163108292753,"Starlin Castro",4579,516770
"Cal Raleigh","SEA","Cal Raleigh",22.903463279288477,"Cal Raleigh",21534,663728
"Max Muncy","- - -","Max Muncy",22.614489412471123,"Max Muncy",13301,571970
"Will Smith","LAD","Will Smith",22.406318716575278,"Will Smith",19197,669257
"Andre Ethier","LAD","Andre Ethier",22.194971284679745,"Andre Ethier",6265,444843
"Ozzie Albies","ATL","Ozzie Albies",21.886181614815797,"Ozzie Albies",16556,645277
"Michael Bourn","- - -","Michael Bourn",21.854764248490866,"Michael Bourn",6387,456422
"Kyle Schwarber","- - -","Kyle Schwarber",21.739269158284998,"Kyle Schwarber",16478,656941
"AJ Pollock","- - -","AJ Pollock",21.425686937544167,"AJ Pollock",9256,572041
"Julio Rodríguez","SEA","Julio Rodríguez",21.24079124238493,"Julio Rodriguez",23697,677594
"Derek Jeter","NYY","Derek Jeter",21.162434665276905,"Derek Jeter",826,116539
"Martín Prado","- - -","Martín Prado",21.161417209936253,"Martin Prado",3312,445988
"Jeff McNeil","NYM","Jeff McNeil",21.117295253286397,"Jeff McNeil",15362,643446
"Jason Kipnis","- - -","Jason Kipnis",20.960277225145873,"Jason Kipnis",9776,543401
"Daniel Murphy","- - -","Daniel Murphy",20.909396561356356,"Daniel Murphy",4316,502517
"Charlie Blackmon","COL","Charlie Blackmon",20.842545485095165,"Charlie Blackmon",7859,453568
"Yoenis Cespedes","- - -","Yoenis Cespedes",20.837586548473475,"Yoenis Cespedes",13110,493316
"Pete Alonso","NYM","Pete Alonso",20.817834168115528,"Pete Alonso",19251,624413
"Vladimir Guerrero Jr.","TOR","Vladimir Guerrero Jr.",20.618678902200088,"Vladimir Guerrero Jr.",19611,665489
"Ian Happ","CHC","Ian Happ",20.61669532662685,"Ian Happ",17919,664023
"Jay Bruce","- - -","Jay Bruce",20.548884523816916,"Jay Bruce",9892,457803
"Josh Reddick","- - -","Josh Reddick",20.468193163981464,"Josh Reddick",3892,502210
"Travis d'Arnaud","- - -","Travis d'Arnaud",20.27625554046957,"Travis d'Arnaud",7739,518595
"Austin Riley","ATL","Austin Riley",20.251602208666938,"Austin Riley",18360,663586
"Bo Bichette","TOR","Bo Bichette",19.96569480124641,"Bo Bichette",19612,666182
"Jed Lowrie","- - -","Jed Lowrie",19.86234440071849,"Jed Lowrie",4418,476704
"Nico Hoerner","CHC","Nico Hoerner",19.840323265419766,"Nico Hoerner",21479,663538
"Neil Walker","- - -","Neil Walker",19.803683703619356,"Neil Walker",7539,435522
"Yasiel Puig","- - -","Yasiel Puig",19.784605167876528,"Yasiel Puig",14225,624577
"Whit Merrifield","- - -","Whit Merrifield",19.70806886463677,"Whit Merrifield",11281,593160
"Coco Crisp","- - -","Coco Crisp",19.656294748193528,"Coco Crisp",1572,424825
"Michael Conforto","- - -","Michael Conforto",19.55793167967313,"Michael Conforto",16376,624424
"Alex Rios","- - -","Alex Rios",19.512989088154264,"Alex Rios",2090,425567
"Tyler Flowers","- - -","Tyler Flowers",19.433396559717778,"Tyler Flowers",9134,452095
"Austin Jackson","- - -","Austin Jackson",19.385782474392204,"Austin Jackson",9848,457706
"Lance Berkman","- - -","Lance Berkman",19.312537803952324,"Lance Berkman",548,204020
"Dexter Fowler","- - -","Dexter Fowler",19.269065147083907,"Dexter Fowler",4062,451594
"Marlon Byrd","- - -","Marlon Byrd",19.217770542943537,"Marlon Byrd",950,407781
"David Freese","- - -","David Freese",19.168780927527266,"David Freese",9549,501896
"Max Kepler","- - -","Max Kepler",19.140020279151052,"Max Kepler",12144,596146
"Dan Uggla","- - -","Dan Uggla",19.033476138690858,"Dan Uggla",3442,462564
"Salvador Perez","KCR","Salvador Perez",19.001697737184326,"Salvador Perez",7304,521692
"Alfonso Soriano","- - -","Alfonso Soriano",18.995811503352392,"Alfonso Soriano",847,150093
"Nick Swisher","- - -","Nick Swisher",18.940983173091134,"Nick Swisher",4599,430897
"Mike Napoli","- - -","Mike Napoli",18.931687617957316,"Mike Napoli",3057,435063
"Ángel Pagán","- - -","Ángel Pagán",18.76519642243482,"Angel Pagan",2918,434636
"Pablo Sandoval","- - -","Pablo Sandoval",18.754900221741874,"Pablo Sandoval",5409,467055
"Erick Aybar","- - -","Erick Aybar",18.741755433007512,"Erick Aybar",4082,430947
"Bryan Reynolds","PIT","Bryan Reynolds",18.54879932531547,"Bryan Reynolds",19326,668804
"Gleyber Torres","- - -","Gleyber Torres",18.466597897008192,"Gleyber Torres",16997,650402
"Adam Eaton","- - -","Adam Eaton",18.4496173504746,"Adam Eaton",11205,594809
"Tommy Pham","- - -","Tommy Pham",18.42873247272158,"Tommy Pham",2967,502054
"Ian Desmond","- - -","Ian Desmond",18.351417424016745,"Ian Desmond",6885,435622
"Sean Murphy","- - -","Sean Murphy",18.296851809247592,"Sean Murphy",19352,669221
"Jorge Polanco","- - -","Jorge Polanco",18.275439180253606,"Jorge Polanco",13152,593871
"Placido Polanco","- - -","Placido Polanco",18.24256033041321,"Placido Polanco",1176,135784
"Gunnar Henderson","BAL","Gunnar Henderson",18.143506100989754,"Gunnar Henderson",26289,683002
"Colby Rasmus","- - -","Colby Rasmus",18.037851710263016,"Colby Rasmus",9893,458675
"Alexei Ramirez","- - -","Alexei Ramirez",17.954371256990804,"Alexei Ramirez",5133,493351
"Yandy Díaz","- - -","Yandy Díaz",17.83160300053435,"Yandy Diaz",16578,650490
"Rickie Weeks Jr.","- - -","Rickie Weeks Jr.",17.803214520834015,"Rickie Weeks Jr.",1849,430001
"J.P. Crawford","- - -","J.P. Crawford",17.77821546387667,"J.P. Crawford",15491,641487
"Tim Anderson","- - -","Tim Anderson",17.662537844816033,"Tim Anderson",15172,641313
"Corbin Carroll","ARI","Corbin Carroll",17.614785631031033,"Corbin Carroll",25878,682998
"Yan Gomes","- - -","Yan Gomes",17.55575391002317,"Yan Gomes",9627,543228
"Kolten Wong","- - -","Kolten Wong",17.526522199600375,"Kolten Wong",12532,543939
"José Molina","- - -","José Molina",17.445208970952287,"Jose Molina",25,150040
"Mike Zunino","- - -","Mike Zunino",17.43595417007718,"Mike Zunino",13265,572287
"Francisco Cervelli","- - -","Francisco Cervelli",17.412920035119157,"Francisco Cervelli",5275,465041
"Jonathan Schoop","- - -","Jonathan Schoop",17.354726087057713,"Jonathan Schoop",11265,570731
"David Ross","- - -","David Ross",17.34420920606452,"David Ross",1551,424325
"Tommy Edman","- - -","Tommy Edman",17.318387298949386,"Tommy Edman",19470,669242
"Chris Taylor","- - -","Chris Taylor",17.197539997289205,"Chris Taylor",13757,621035
"Franklin Gutierrez","- - -","Franklin Gutierrez",17.18065411538344,"Franklin Gutierrez",3255,429711
"Marco Scutaro","- - -","Marco Scutaro",17.05833455167077,"Marco Scutaro",1555,340192
"Teoscar Hernández","- - -","Teoscar Hernández",16.986286628805257,"Teoscar Hernandez",13066,606192
"Josh Willingham","- - -","Josh Willingham",16.952605275273854,"Josh Willingham",2103,425545
"William Contreras","- - -","William Contreras",16.920320671271508,"William Contreras",20503,661388
"Chris Young","- - -","Chris Young",16.83669537932783,"Chris Young",3882,455759
"Kelly Johnson","- - -","Kelly Johnson",16.82303650344305,"Kelly Johnson",2234,430637
"Jose Iglesias","- - -","Jose Iglesias",16.809595935664728,"Jose Iglesias",10231,578428
"Justin Morneau","- - -","Justin Morneau",16.803435478764804,"Justin Morneau",1737,408047
"Brandon Lowe","TBR","Brandon Lowe",16.801172119927603,"Brandon Lowe",18882,664040
"Joc Pederson","- - -","Joc Pederson",16.778715787833942,"Joc Pederson",11899,592626
"David DeJesus","- - -","David DeJesus",16.625710319924586,"David DeJesus",1825,430203
"Aaron Hill","- - -","Aaron Hill",16.53356191144226,"Aaron Hill",6104,431094
"David Peralta","- - -","David Peralta",16.407227097684064,"David Peralta",2136,444482
"Alex Avila","- - -","Alex Avila",16.331796136559362,"Alex Avila",7476,488671
"Wilson Ramos","- - -","Wilson Ramos",16.330792121741517,"Wilson Ramos",1433,467092
"Christian Walker","- - -","Christian Walker",16.088516667976457,"Christian Walker",13419,572233
"Harrison Bader","- - -","Harrison Bader",16.00118978883784,"Harrison Bader",18030,664056
"Matt Joyce","- - -","Matt Joyce",15.955749325166465,"Matt Joyce",3353,459964
"Victor Martinez","- - -","Victor Martinez",15.862356383121526,"Victor Martinez",393,400121
"Geovany Soto","- - -","Geovany Soto",15.847316912427786,"Geovany Soto",3707,434567
"Mark Ellis","- - -","Mark Ellis",15.755026405576816,"Mark Ellis",1443,407885
"Ender Inciarte","- - -","Ender Inciarte",15.713521054450032,"Ender Inciarte",4922,542255
"Eduardo Escobar","- - -","Eduardo Escobar",15.636431963842025,"Eduardo Escobar",6153,500871
"Andrés Giménez","- - -","Andrés Giménez",15.596307364815438,"Andres Gimenez",19950,665926
"Jason Castro","- - -","Jason Castro",15.59268312920942,"Jason Castro",8722,488771
"Christian Vázquez","- - -","Christian Vázquez",15.555519409538135,"Christian Vazquez",9774,543877
"Randy Arozarena","- - -","Randy Arozarena",15.53808518280784,"Randy Arozarena",19290,668227
"Matt Wieters","- - -","Matt Wieters",15.508361177539072,"Matt Wieters",4298,446308
"Carlos Pena","- - -","Carlos Pena",15.505741052942193,"Carlos Pena",934,150289
"Scott Rolen","- - -","Scott Rolen",15.504268894979056,"Scott Rolen",970,121409
"Cedric Mullins","- - -","Cedric Mullins",15.347260937860415,"Cedric Mullins",17929,656775
"Grady Sizemore","- - -","Grady Sizemore",15.221395127071363,"Grady Sizemore",2197,429713
"Juan Uribe","- - -","Juan Uribe",15.220575525030393,"Juan Uribe",454,346874
"Mike Moustakas","- - -","Mike Moustakas",15.171516019696057,"Mike Moustakas",4892,519058
"Wil Myers","- - -","Wil Myers",15.092160940749707,"Wil Myers",10047,571976
"Ryan Hanigan","- - -","Ryan Hanigan",15.049266367918534,"Ryan Hanigan",4952,452672
"Jake Cronenworth","SDP","Jake Cronenworth",15.045685454128256,"Jake Cronenworth",18036,630105
"Steven Kwan","CLE","Steven Kwan",15.04119521467038,"Steven Kwan",24610,680757
"Adley Rutschman","BAL","Adley Rutschman",15.00561460922774,"Adley Rutschman",26288,668939
"Brian Roberts","- - -","Brian Roberts",14.959370265907392,"Brian Roberts",166,406878
"Alejandro Kirk","TOR","Alejandro Kirk",14.816061747622129,"Alejandro Kirk",22581,672386
"Mark Canha","- - -","Mark Canha",14.75912628729213,"Mark Canha",11445,592192
"Cameron Maybin","- - -","Cameron Maybin",14.592255240408964,"Cameron Maybin",5223,457727
"Miguel Rojas","- - -","Miguel Rojas",14.531519644222183,"Miguel Rojas",7802,500743
"Jazz Chisholm Jr.","- - -","Jazz Chisholm Jr.",14.509082943124517,"Jazz Chisholm Jr.",20454,665862
"Yoán Moncada","- - -","Yoán Moncada",14.49791051881098,"Yoan Moncada",17232,660162
"Jeremy Peña","HOU","Jeremy Peña",14.489414997043657,"Jeremy Pena",21636,665161
"Gary Sánchez","- - -","Gary Sánchez",14.377808970024127,"Gary Sanchez",11442,596142
"César Hernández","- - -","César Hernández",14.353859490256134,"Cesar Hernandez",10556,514917
"Josh Harrison","- - -","Josh Harrison",14.32854350847783,"Josh Harrison",8202,543281
"Ramón Laureano","- - -","Ramón Laureano",14.164943079079677,"Ramon Laureano",17128,657656
"Nick Castellanos","- - -","Nick Castellanos",14.15238761871607,"Nick Castellanos",11737,592206
"Randal Grichuk","- - -","Randal Grichuk",14.010887019360531,"Randal Grichuk",10243,545341
"Seth Smith","- - -","Seth Smith",13.954241127161403,"Seth Smith",7331,452234
"Jackie Bradley Jr.","- - -","Jackie Bradley Jr.",13.90318779447789,"Jackie Bradley Jr.",12984,598265
"Stephen Drew","- - -","Stephen Drew",13.818802352856588,"Stephen Drew",4251,452220
"Kole Calhoun","- - -","Kole Calhoun",13.782308484203172,"Kole Calhoun",11200,594777
"Melky Cabrera","- - -","Melky Cabrera",13.781120300946444,"Melky Cabrera",4022,466320
"Mike Yastrzemski","- - -","Mike Yastrzemski",13.765313675760176,"Mike Yastrzemski",14854,573262
"Chone Figgins","- - -","Chone Figgins",13.689582675535746,"Chone Figgins",1580,408210
"Luis Robert Jr.","CHW","Luis Robert Jr.",13.666399446396476,"Luis Robert Jr.",20043,673357
"Casey Blake","- - -","Casey Blake",13.574723979853404,"Casey Blake",719,232694
"Daulton Varsho","- - -","Daulton Varsho",13.462962056710323,"Daulton Varsho",19918,662139
"Cody Ross","- - -","Cody Ross",13.366992608617805,"Cody Ross",1760,425496
"Nick Ahmed","- - -","Nick Ahmed",13.347913063404835,"Nick Ahmed",12147,605113
"Alcides Escobar","- - -","Alcides Escobar",13.299395878226392,"Alcides Escobar",6310,444876
"Odúbel Herrera","PHI","Odúbel Herrera",13.238197731387388,"Odubel Herrera",11476,546318
"Johnny Damon","- - -","Johnny Damon",13.176366038415217,"Johnny Damon",185,113028
"Joey Gallo","- - -","Joey Gallo",13.171659391076393,"Joey Gallo",14128,608336
"Derrek Lee","- - -","Derrek Lee",13.091358251351991,"Derrek Lee",525,117601
"Will Venable","- - -","Will Venable",13.086768783094104,"Will Venable",211,461416
"Corey Hart","- - -","Corey Hart",12.987143615953151,"Corey Hart",1945,430611
"J.D. Drew","BOS","J.D. Drew",12.911262281810018,"J.D. Drew",1152,136770
"Elly De La Cruz","CIN","Elly De La Cruz",12.789791121234346,"Elly De La Cruz",26668,682829
"Jarren Duran","BOS","Jarren Duran",12.783616539623125,"Jarren Duran",24617,680776
"Trent Grisham","- - -","Trent Grisham",12.747540498039031,"Trent Grisham",18564,663757
"Ryan Ludwick","- - -","Ryan Ludwick",12.73591212084373,"Ryan Ludwick",1260,407886
"Carlos Ruiz","- - -","Carlos Ruiz",12.445142182302597,"Carlos Ruiz",2579,434563
"Andres Torres","- - -","Andres Torres",12.348217538597467,"Andres Torres",1488,400083
"Wilmer Flores","- - -","Wilmer Flores",12.317394904468157,"Wilmer Flores",5827,527038
"Rhys Hoskins","- - -","Rhys Hoskins",12.251995966277978,"Rhys Hoskins",16472,656555
"Corey Dickerson","- - -","Corey Dickerson",12.174550082473623,"Corey Dickerson",10762,572816
"Jason Bartlett","- - -","Jason Bartlett",12.163094871357071,"Jason Bartlett",8219,430583
"Didi Gregorius","- - -","Didi Gregorius",12.102252896629118,"Didi Gregorius",6012,544369
"Michael Cuddyer","- - -","Michael Cuddyer",12.095324185254537,"Michael Cuddyer",1534,150212
"Desmond Jennings","TBR","Desmond Jennings",12.050347719594319,"Desmond Jennings",1965,457775
"Michael Harris II","ATL","Michael Harris II",12.014794599856051,"Michael Harris II",25931,671739
"Luis Arraez","- - -","Luis Arraez",12.007103572241395,"Luis Arraez",18568,650333
"Ryan McMahon","- - -","Ryan McMahon",11.934852143143576,"Ryan McMahon",15112,641857
"Geraldo Perdomo","ARI","Geraldo Perdomo",11.903090814363654,"Geraldo Perdomo",22799,672695
"Isaac Paredes","- - -","Isaac Paredes",11.87962775624657,"Isaac Paredes",20036,670623
"Drew Stubbs","- - -","Drew Stubbs",11.823058649479169,"Drew Stubbs",9328,453211
"Lourdes Gurriel Jr.","- - -","Lourdes Gurriel Jr.",11.817070020312656,"Lourdes Gurriel Jr.",19238,666971
"Billy Hamilton","- - -","Billy Hamilton",11.712410372894478,"Billy Hamilton",10199,571740
"Rajai Davis","- - -","Rajai Davis",11.709282512952042,"Rajai Davis",3708,434658
"Magglio Ordonez","DET","Magglio Ordonez",11.68528409484064,"Magglio Ordonez",248,120044
"Jarrod Dyson","- - -","Jarrod Dyson",11.682968738283977,"Jarrod Dyson",4866,502481
"Jedd Gyorko","- - -","Jedd Gyorko",11.681507125043526,"Jedd Gyorko",10816,576397
